iata,icao,name,city,country,tz,lat,lon
FNL,KFNL,Northern Colorado Regional Airport,Loveland,US,America/Denver,40.44969,-105.011272
FNT,KFNT,Bishop International Airport,Flint,US,America/New_York,42.969294,-83.743355
FOD,KFOD,Fort Dodge Regional Airport,Fort Dodge,US,America/Chicago,42.552624,-94.191237
FOE,KFOE,Topeka Regional Airport,Topeka,US,America/Chicago,38.950901,-95.663597
FPR,KFPR,Treasure Coast International Airport,Fort Pierce,US,America/New_York,27.4951,-80.368301
FRG,KFRG,Republic Airport,East Farmingdale,US,America/New_York,40.728576,-73.414267
FRI,KFRI,Marshall Army Air Field,Fort Riley (Junction City),US,America/Chicago,39.053021,-96.764202
FSD,KFSD,Sioux Falls Regional Airport,Sioux Falls,US,America/Chicago,43.585463,-96.741152
FSI,KFSI,Henry Post Army Air Field,Fort Sill,US,America/Chicago,34.649799,-98.402199
FSM,KFSM,Fort Smith Regional Airport,Fort Smith,US,America/Chicago,35.336601,-94.367401
FST,KFST,Fort Stockton Pecos County Airport,Fort Stockton,US,America/Chicago,30.9157009125,-102.916000366
FTK,KFTK,Godman Army Air Field,Fort Knox,US,America/New_York,37.907100677500004,-85.9720993042
FTW,KFTW,Fort Worth Meacham International Airport,Fort Worth,US,America/Chicago,32.819919,-97.360818
FTY,KFTY,Fulton County Airport Brown Field,Atlanta,US,America/New_York,33.7790985107,-84.5214004517
FWA,KFWA,Fort Wayne International Airport,Fort Wayne,US,America/New_York,40.978896,-85.194465
FXE,KFXE,Fort Lauderdale Executive Airport,Fort Lauderdale,US,America/New_York,26.1972999573,-80.1707000732
FYV,KFYV,Drake Field,Fayetteville,US,America/Chicago,36.00510025024414,-94.17009735107422
GCC,KGCC,Northeast Wyoming Regional Airport,Gillette,US,America/Denver,44.3489,-105.539001
GCK,KGCK,Garden City Regional Airport,Garden City,US,America/Chicago,37.9275016785,-100.723999023
GCN,KGCN,Grand Canyon National Park Airport,Grand Canyon - Tusayan,US,America/Phoenix,35.9524,-112.147003
GDV,KGDV,Dawson Community Airport,Glendive,US,America/Denver,47.137658,-104.80691
GEG,KGEG,Spokane International Airport,Spokane,US,America/Los_Angeles,47.6199,-117.533997
GFK,KGFK,Grand Forks International Airport,Grand Forks,US,America/Chicago,47.949299,-97.176102
GFL,KGFL,Floyd Bennett Memorial Airport,Glens Falls,US,America/New_York,43.3412017822,-73.6102981567
GGG,KGGG,East Texas Regional Airport,Longview,US,America/Chicago,32.38399887084961,-94.71150207519531
GGW,KGGW,Glasgow Valley County Airport Wokal Field,Glasgow,US,America/Denver,48.212502,-106.614998
GJT,KGJT,Grand Junction Regional Airport,Grand Junction,US,America/Denver,39.126663,-108.529387
GLD,KGLD,Goodland Municipal Airport,Goodland,US,America/Denver,39.370701,-101.699753
GLH,KGLH,Mid Delta Regional Airport,Greenville,US,America/Chicago,33.482899,-90.985603
GLS,KGLS,Scholes International At Galveston Airport,Galveston,US,America/Chicago,29.265301,-94.860397
GMU,KGMU,Greenville Downtown Airport,Greenville,US,America/New_York,34.847903,-82.350217
GNV,KGNV,Gainesville Regional Airport,Gainesville,US,America/New_York,29.6900997162,-82.2717971802
GON,KGON,Groton New London Airport,Groton,US,America/New_York,41.330101,-72.045097
FCA,KGPI,Glacier Park International Airport,Kalispell,US,America/Denver,48.310501,-114.255997
GPT,KGPT,Gulfport Biloxi International Airport,Gulfport,US,America/Chicago,30.405582,-89.069836
GRB,KGRB,Austin Straubel International Airport,Green Bay,US,America/Chicago,44.483459,-88.130805
GRF,KGRF,Gray Army Air Field,Fort Lewis/Tacoma,US,America/Los_Angeles,47.07920074,-122.5810013
GRI,KGRI,Central Nebraska Regional Airport,Grand Island,US,America/Chicago,40.967498779296875,-98.30960083007812
GRK,KGRK,Killeen Regional Airport / Robert Gray Army Airfield,Fort Cavazos,US,America/Chicago,31.0672,-97.828903
GRR,KGRR,Gerald R. Ford International Airport,Grand Rapids,US,America/New_York,42.880798,-85.522797
GSB,KGSB,Seymour Johnson Air Force Base,Goldsboro,US,America/New_York,35.339401,-77.960602
